X	Y	Z	Mass
-0.0841138	0.00426973	0.0124596	1
-0.092877	0.00143936	0.0013036	1
-0.307163	0.0980765	0.00671034	1
-0.24994	0.0626956	0.00766684	1
-0.091445	-0.00256669	0.00810404	1
-0.121732	0.0220636	0.000269813	1
-0.126622	-0.000737612	0.00846208	1
-0.120273	0.0458774	0.0143175	1
-0.128938	-0.007283	0.00579821	1
-0.00335056	0.0216528	0.00837791	1
-0.00118644	-0.00384879	0.204314	1
-0.17254	0.00572826	-0.00737914	1
-0.0440743	-0.00245485	-0.00497982	1
-0.0317128	0.00204225	6.21018e-006	1
-0.2995	0.0745421	0.142889	1
-0.271906	0.0834955	-0.00189318	1
-0.253606	0.0378303	0.00981899	1
-0.244742	0.0295276	-0.0027988	1
-0.279298	0.206929	0.00828618	1
-0.229176	0.0819304	0.0186026	1
-0.224593	0.0798881	0.00867269	1
-0.111351	0.0187743	0.0085474	1
-0.12959	0.0376147	0.00964742	1
-0.000326587	-0.000418209	-0.000378883	1
7.11679e-005	0.0660261	-0.00156479	1
0.00326201	-0.00238847	0.115704	1
0.00964076	-0.0715762	-0.00168386	1
-0.0941293	0.0194705	0.00152885	1
-0.0938781	-0.0261516	-0.039082	1
-0.130069	0.0506435	-0.00516622	1
-0.463244	-0.0537404	0.249499	1
-0.316621	-0.155188	0.217195	1
-0.345008	0.0538319	0.00761715	1
-0.247837	0.0768414	0.0093218	1
-0.335181	0.0815701	0.00403848	1
-0.569338	0.163641	0.146565	1
-0.174455	0.0361448	0.0118072	1
-0.0395527	0.129848	-0.00415082	1
-0.0530073	0.159168	0.0136421	1
-0.157841	0.141134	0.00766524	1
-0.000376243	0.0372359	0.138151	1
-0.0445404	-0.0024394	-0.00494568	1
-0.0155101	0.0261517	-0.00421699	1
-0.0843692	0.117389	0.000953271	1
-0.302317	0.11329	-0.0012165	1
-0.102067	0.00127802	-0.00130542	1
-0.313169	0.00696569	0.129368	1
-0.325853	0.145764	-0.00812578	1
-0.343747	-0.0852523	0.196134	1
-0.19055	0.141184	0.0121284	1
-0.166947	0.198752	0.0110248	1
-0.201343	0.0234414	0.00337812	1
-0.150617	0.0335964	0.00158904	1
-0.0966377	0.131222	0.00756033	1
0.0032827	0.120235	0.00802852	1
-0.00284818	-0.0297483	-0.000748685	1
0.033383	0.0594132	0.246702	1
-0.000610086	0.107492	0.0418124	1
-0.105665	0.029379	-0.0088974	1
-0.0432261	0.00684093	0.00508812	1
-0.307338	-0.234432	0.202532	1
-0.264424	0.10606	-0.000412171	1
