X	Y	Z
-5.59849	-7.21111	-7.99317
-2.00012	-8.85761	-8.85388
-1.86665	-7.20397	-8.84827
-1.56472	-7.19789	-8.00155
1.08874	-7.23136	-8.84801
2.52697	-8.85802	-8.85437
3.93658	-6.46365	-8.84168
7.16288	-6.34597	-7.97884
5.82637	-8.86234	-8.03672
7.49192	-8.86096	-7.39637
8.85546	-8.85918	-7.82014
-8.8523	-7.97096	-7.4686
-7.40582	-8.86141	-6.75475
-7.14679	-6.35213	-8.00439
-5.70269	-8.03041	-6.43075
-4.87902	-8.8609	-7.50706
-1.89811	-8.86057	-7.37986
-2.68254	-5.34525	-6.99149
0.895406	-8.86071	-7.46364
3.18254	-7.20839	-8.00864
2.17266	-8.86034	-7.17065
2.32788	-7.99491	-7.30819
5.36626	-4.48417	-7.38151
4.75985	-8.86159	-7.14448
7.26976	-4.48902	-7.5412
8.83105	-5.64451	-8.83105
-8.84786	-7.23009	-8.03773
-6.69823	-8.86164	-8.04404
-7.43232	-8.85808	-8.85451
-5.63215	-8.86099	-7.45779
-3.72257	-8.86155	-8.08943
-4.51942	-7.97708	-7.30415
-2.10989	-7.98612	-8.85393
3.43011	-7.22418	-8.84805
1.55837	-6.46789	-8.84154
2.60335	-7.99484	-8.85297
4.20111	-7.23171	-8.84839
6.58154	-8.85777	-8.85525
8.01439	-7.28383	-8.84831
5.6566	-8.07352	-6.00169
8.8705	-8.85731	-8.86224
-8.85486	-8.85749	-6.68145
-8.09085	-8.01123	-8.85228
-5.68343	-8.03223	-8.02812
-4.51171	-8.86172	-8.08815
-3.77426	-8.86048	-6.92805
-2.60376	-8.02107	-8.03054
-0.799831	-5.60862	-8.83446
-0.756685	-7.99444	-7.24173
1.09669	-8.015	-5.70163
2.64454	-8.03563	-8.03466
1.54018	-7.96956	-7.27655
3.43074	-8.02675	-8.02748
8.84201	-6.95721	-8.84311
8.05995	-8.00676	-8.8538
8.85609	-8.85928	-6.82713
-8.81787	-4.89569	-8.81779
-6.00002	-8.86174	-8.05604
-8.83632	-6.27114	-8.83743
-5.99017	-8.00307	-7.20801
-4.12262	-8.86081	-7.53001
-3.39594	-7.22186	-8.84808
-2.37329	-7.15019	-6.52974
0.783089	-6.45416	-8.84111
0.658596	-5.46597	-7.97352
3.8986	-7.10852	-7.25324
1.84383	-8.013	-8.02928
4.17452	-8.03135	-8.03582
7.97465	-5.48544	-7.96289
7.13761	-5.43851	-7.92178
8.81563	-4.69082	-8.23531
-7.21407	-8.02316	-8.05414
-7.98414	-6.39498	-8.01244
-6.49884	-7.22814	-8.8478
-7.43152	-7.97954	-8.85282
-1.75135	-8.0352	-6.4182
-2.22269	-7.9711	-7.26972
-1.53841	-7.22085	-6.43474
-0.335106	-7.14173	-7.23948
-3.7706	-7.09008	-7.23076
3.33678	-7.3133	-6.36313
1.43072	-7.12219	-7.2037
6.00002	-7.99218	-8.85414
7.24897	-8.03073	-8.03023
5.68449	-8.03345	-8.04648
8.12017	-8.8616	-7.50703
-8.8331	-5.57288	-7.17933
-8.07413	-8.86088	-6.87019
-8.07478	-4.8256	-8.82383
-7.20371	-7.19803	-8.00195
-4.47049	-8.86134	-5.64551
-2.77454	-7.9867	-8.85377
-1.44093	-7.98728	-8.85372
0.0287593	-7.18938	-7.98897
1.87569	-7.96289	-5.85375
2.27573	-7.14859	-7.20668
6.14547	-8.05531	-6.67846
6.48258	-7.24579	-8.84769
7.98223	-6.40742	-7.99248
6.11025	-8.86164	-5.32908
7.3742	-7.9864	-8.85317
-8.84184	-6.46053	-8.02015
-7.16354	-7.10071	-7.21597
-8.01017	-5.73865	-8.83342
-5.73848	-7.23522	-8.8475
-5.29498	-7.9468	-7.27941
-2.97209	-7.97554	-7.26125
-1.88703	-4.46107	-6.51443
-1.17172	-7.14984	-7.21389
1.07076	-8.0171	-8.02365
2.39815	-7.20566	-8.00762
2.5413	-8.86103	-6.59659
6.35053	-6.30631	-7.99122
5.77454	-4.36169	-6.64113
8.85305	-8.02934	-7.44439
8.84844	-7.26852	-8.03202
-7.98474	-7.14565	-7.20911
-7.19977	-8.04597	-5.74419
-4.98114	-7.99803	-4.04763
-5.89386	-7.26332	-6.51141
-4.12357	-8.0314	-8.03373
-3.97504	-7.18484	-8.0114
-1.14399	-8.02444	-8.01973
-0.171999	-7.97851	-6.55246
0.819161	-7.18928	-8.00774
3.02048	-6.23807	-7.15051
3.23785	-8.86106	-6.74773
4.59069	-7.98798	-7.31899
2.61524	-8.02683	-5.80934
8.02838	-7.98637	-5.79496
8.81526	-4.586	-6.70462
-7.42894	-4.47707	-6.4928
-7.39901	-7.96724	-7.28074
-2.81426	-8.00187	-3.58212
-4.91472	-8.04354	-8.03199
-5.40449	-5.4633	-7.97795
-2.01194	-6.22501	-7.19943
-1.11671	-5.46283	-7.97462
0.70895	-8.03208	-6.48636
0.315452	-8.02077	-8.03173
2.28104	-7.97804	-6.57603
4.41236	-5.46582	-7.98281
3.08708	-7.09637	-7.19393
4.74488	-7.18767	-7.18283
6.52384	-7.98784	-5.34425
7.94597	-5.45675	-6.25603
-7.32559	-4.52009	-4.64728
-5.03619	-5.5593	-6.36758
-5.27854	-5.86245	-5.02507
-4.51676	-7.32243	-5.70572
-2.36407	-8.06833	-2.95498
-3.32823	-8.03692	-6.55934
-1.16992	-6.26386	-7.2229
-0.589948	-7.2483	-5.65986
-0.313103	-6.34468	-7.98434
1.4797	-8.01596	-6.52404
1.75458	-7.17867	-6.44618
6.36924	-4.40775	-5.69709
7.14198	-6.39848	-6.31412
7.21775	-7.97115	-7.25085
6.64008	-7.32351	-6.635
-5.60794	-6.02406	-5.8327
-7.38503	-8.86165	-4.63471
-3.91734	-6.70399	-5.7095
-4.90624	-7.24672	-6.48198
-5.43846	-7.06985	-7.23248
-1.20315	-8.02623	-4.85501
-1.98734	-7.10924	-7.23949
0.110733	-7.13782	-6.52705
1.1367	-5.39889	-5.73627
3.48792	-4.33653	-5.64223
4.41936	-6.4988	-5.90662
5.57167	-6.49287	-6.5493
4.93892	-6.98486	-6.33849
6.00136	-7.42057	-5.54824
7.17953	-6.24648	-7.12306
-7.34263	-8.86123	-3.90618
-5.46899	-8.86135	-4.91258
-4.08569	-8.86225	-4.96223
-3.59338	-8.86142	-4.38582
-2.34796	-8.86189	-5.75385
-1.97752	-7.06257	-4.93906
0.149762	-8.86103	-5.56298
0.881827	-8.86086	-5.64679
1.59964	-8.86103	-5.7518
2.2946	-8.86074	-5.88333
2.47971	-8.86179	-4.66602
3.67178	-8.86247	-4.3003
3.42463	-8.86054	-3.59557
5.34505	-8.86155	-5.2957
6.24252	-8.86085	-4.29246
-6.79725	-8.86183	-4.9208
-6.14734	-8.86197	-5.09524
-4.94209	-8.86069	-4.397
-5.88867	-8.86191	-5.69887
-6.45922	-4.26179	-6.10578
-1.77731	-8.86222	-6.07061
-0.808082	-8.86078	-6.73379
-0.483402	-8.03457	-5.06356
1.01905	-6.48783	-6.21352
3.00016	-8.86161	-6.05667
4.96661	-7.24194	-8.84797
3.03368	-8.01357	-4.43033
5.07065	-8.0422	-4.10635
6.68293	-8.86112	-4.77584
8.06263	-8.86187	-5.31997
-8.85316	-8.85768	-6.25439
-7.36193	-4.43297	-7.48935
-5.52377	-7.36517	-5.78002
-5.5446	-8.04941	-5.42836
-2.59019	-8.86069	-7.43117
-1.06961	-8.86166	-6.08396
-0.0920672	-8.86015	-6.77999
2.43165	-5.45871	-6.44432
0.447178	-5.99486	-6.35907
2.53281	-5.44605	-7.9806
4.37869	-4.3883	-7.31093
6.48419	-7.97279	-4.59308
4.92647	-8.02169	-5.48659
8.19874	-4.41104	-7.21684
8.01724	-8.0294	-6.52788
-8.85329	-8.85699	-5.3945
-7.37167	-8.86236	-5.41464
-4.28848	-8.86114	-4.26503
-5.95236	-5.1702	-5.36204
-3.19009	-7.18913	-8.01147
-0.989494	-7.99935	-6.49188
-2.97706	-6.3134	-8.00598
-0.418761	-8.02536	-8.0216
1.97761	-4.52021	-6.34267
3.11962	-7.95668	-7.2901
3.83838	-7.96495	-7.20936
4.7852	-8.00974	-6.20793
4.37124	-8.86175	-4.43223
7.39489	-8.86157	-4.3457
8.85535	-8.85892	-6.34245
-8.85435	-8.85745	-7.11988
-8.01811	-8.06099	-7.98829
-4.76903	-8.86128	-5.03242
-6.30812	-6.34585	-7.99364
-3.77619	-8.86109	-5.64121
-3.19679	-4.45245	-7.35451
-3.62641	-5.40336	-7.92646
-0.23515	-5.47164	-7.96363
2.96011	-4.49695	-8.06525
3.53658	-5.92306	-6.28776
3.20459	-8.86146	-4.83317
5.37815	-5.98511	-5.95374
4.04643	-8.07351	-6.50742
6.91415	-8.8609	-6.1668
8.8423	-6.49801	-8.02657
-8.84635	-7.16409	-7.29714
-8.85264	-8.85819	-7.549
-6.43274	-8.03184	-8.0385
-6.60803	-4.38162	-6.95992
-5.21362	-8.86201	-5.61267
-2.09406	-6.32049	-8.0091
-1.86358	-8.02692	-8.03142
-1.63642	-5.59501	-8.83302
1.64066	-5.63534	-8.83351
1.64016	-8.86039	-7.53978
