Dens	Pres
1.66563	17.7455
1.55986	15.5767
1.70719	18.597
1.77507	19.9888
1.75503	19.578
1.70078	18.4656
1.0749	5.63476
1.70224	18.4957
1.733	19.1267
1.71441	18.7455
1.69836	18.4165
1.71735	18.8056
1.16581	7.49838
1.55038	15.3826
1.57017	15.7886
0.840482	0.829955
1.75815	19.6422
1.06843	5.50212
1.7168	18.7943
1.74747	19.4231
1.35667	11.4111
1.46689	13.6704
1.20474	8.29637
1.10551	6.2619
1.45322	13.39
1.71563	18.7706
1.72824	19.0286
1.10276	6.20547
1.08265	5.79312
0.904228	2.13652
1.70466	18.5449
1.29053	10.0545
1.35035	11.2811
1.50652	14.483
1.72844	19.0333
1.68688	18.1808
1.49613	14.27
1.46224	13.5749
1.43068	12.9277
1.53612	15.0897
1.44792	13.2815
1.52944	14.9532
1.70248	18.5004
1.70828	18.6193
1.76309	19.7434
1.06899	5.51294
1.76585	19.8
0.967853	3.44032
1.4673	13.6783
1.75263	19.5291
1.52688	14.9005
1.51961	14.7517
1.50606	14.4736
1.69426	18.3323
1.45081	13.3405
1.74025	19.2748
1.35317	11.3392
1.29534	10.153
1.74755	19.4245
1.52163	14.793
1.22015	8.6121
1.44205	13.1604
1.09828	6.11392
1.35369	11.3495
1.68714	18.186
1.68796	18.2028
0.90926	2.23942
1.46718	13.6762
1.71205	18.6973
1.4783	13.9044
1.75714	19.6218
1.25287	9.28246
0.894406	1.93497
1.54798	15.333
1.37995	11.8881
1.43051	12.9241
1.74129	19.297
1.69511	18.3498
1.51171	14.5893
1.70974	18.6495
1.47312	13.798
1.71499	18.7572
1.70528	18.5584
1.49872	14.3231
1.23008	8.81501
1.75115	19.4989
1.69574	18.3622
1.73367	19.1403
1.69471	18.3408
0.88964	1.83759
0.915027	2.35721
1.68592	18.1608
1.73863	19.2424
1.71818	18.8223
1.09067	5.95698
1.22983	8.81021
1.10092	6.16769
1.73001	19.0654
1.72374	18.9368
1.72042	18.8685
1.08724	5.88692
1.43552	13.0272
1.47882	13.9155
1.73651	19.1982
1.08304	5.80092
0.912046	2.29633
1.12909	6.7444
1.18801	7.95225
1.55084	15.3919
1.77789	20.047
1.74891	19.4526
1.23928	9.00386
1.53276	15.0214
1.28014	9.84175
1.73666	19.2015
1.49069	14.1583
0.882975	1.70061
1.26461	9.52292
1.65069	17.4389
1.51025	14.5589
1.23423	8.89948
1.75934	19.6667
1.39802	12.2578
1.53724	15.1129
